Lors de la phase finale de ce projet, nous avons ressenti le besoin d'organiser plus systématiquement nos tests. Chaque ligne de ce fichier a été ajoutée automatiquement à la compilation et donne les paramètres associés à l'image résultat.

resultats/PMBnous29031831.gif : nu=0.002, lambda=5e-08, T=1, N=300, ce qui donne CFL=0.34595333333333333
resultats/PMBnous29031831.gif : nu=0.002, lambda=9e-08, T=1, N=300, ce qui donne CFL=0.34595333333333333
resultats/PMBnous29031832.gif : nu=0.005, lambda=9e-08, T=1, N=300, ce qui donne CFL=0.8648833333333334
resultats/PMBnous29031833.gif : nu=0.005, lambda=9e-08, T=1, N=300, ce qui donne CFL=0.8648833333333334
resultats/PMBnous29031833.gif : nu=0.003, lambda=9e-08, T=1, N=300, ce qui donne CFL=0.51893
resultats/PMBnous29031834.gif : nu=0.004, lambda=9e-08, T=1, N=300, ce qui donne CFL=0.6919066666666667
resultats/PMBnous29031834.gif : nu=0.0035, lambda=9e-08, T=1, N=300, ce qui donne CFL=0.6054183333333334
resultats/PMBnous29031837.gif : nu=0.0038, lambda=9e-08, T=1, N=300, ce qui donne CFL=0.6573113333333334
resultats/PMBnous29031838.gif : nu=0.0038, lambda=9e-08, T=1, N=300, ce qui donne CFL=0.6573113333333334
resultats/PMBnous29031839.gif : nu=0.0038, lambda=5e-07, T=1, N=300, ce qui donne CFL=0.6573113333333334
resultats/PMBnous29031844.gif : nu=0.0038, lambda=5e-06, T=1, N=300, ce qui donne CFL=0.6573113333333334
resultats/PMBnous29031845.gif : nu=0.0038, lambda=1e-06, T=1, N=300, ce qui donne CFL=0.6573113333333334
resultats/PMBnous29031847.gif : nu=0.0038, lambda=1e-06, T=1, N=300, ce qui donne CFL=0.6573113333333334
resultats/PMBnous29031859.gif : nu=0.0038, lambda=5e-06, T=1, N=300, ce qui donne CFL=0.6573113333333334
resultats/PMBlax29031905.gif : nu=0.0038, lambda=5e-06, T=1, N=300, ce qui donne CFL=2.4663773333333334
resultats/PMBlax29031910.gif : nu=0.0007, lambda=1e-08, T=1, N=300, ce qui donne CFL=0.45433266666666666
resultats/PMBlax29031911.gif : nu=0.0007, lambda=3e-07, T=1, N=300, ce qui donne CFL=0.45433266666666666
resultats/PMBlax29031916.gif : nu=0.0007, lambda=3e-07, T=1, N=300, ce qui donne CFL=0.45433266666666666
resultats/PMBlax29031928.gif : nu=0.0007, lambda=8e-08, T=1, N=300, ce qui donne CFL=0.45433266666666666
resultats/PMBlax29031934.gif : nu=0.0007, lambda=1.4e-07, T=1, N=300, ce qui donne CFL=0.45433266666666666
